item_name,item_category,item_price_AMBA,item_price_restoPBA,item_price_CCL,item_price_neaNOA,item_price_Patagonia
Leche en polvo Entera 26% Mg Inst. Fortif. C/Vit A&D Manfrey x 400 gr,Lácteos,0,0,"$ 195,00","$ 197,77",0
Leche en polvo Entera Ilolay x 400 gr,Lácteos,"$ 178,00","$ 184,23","$ 187,79","$ 190,46","$ 192,24"
Leche en polvo Entera Inst. Fortificada con Vit. A y D Pouch Purísima x 400 gr,Lácteos,"$ 173,00","$ 179,06","$ 182,52","$ 185,11","$ 186,84"
Leche Fresca Entera tenor graso 3% Armonía x 1 lt,Lácteos,"$ 40,25","$ 41,66","$ 42,46",0,0
Leche Fresca Parcialmente Descremada tenor graso 1% Armonía x 1 lt,Lácteos,"$ 40,25","$ 41,66","$ 42,46",0,0
Leche Fresca Parcialmente Descremada tenor graso 2% Armonía x 1 lt,Lácteos,"$ 40,25","$ 41,66","$ 42,46",0,0
Leche larga vida Entera Diáfana x 1 lt,Lácteos,0,0,"$ 49,00",0,0
Leche larga vida Entera UHT Apóstoles x 1 lt,Lácteos,"$ 45,00","$ 46,58","$ 47,48","$ 48,15","$ 48,60"
Leche larga vida Parcialmente descremada Diáfana x 1 lt,Lácteos,0,0,"$ 49,00",0,0
Leche larga vida Parcialmente descremada UHT Apóstoles x 1 lt,Lácteos,"$ 45,00","$ 46,58","$ 47,48","$ 48,15","$ 48,60"
Lechuga Supermercado x 1 kg,Frutas y verduras,"$ 59,00","$ 61,07","$ 62,25","$ 63,13","$ 63,72"
Limpiador Baño doypack Ecovita x 500 ml,Limpieza,"$ 53,00","$ 53,00","$ 53,00","$ 53,00","$ 53,00"
Limpiador Baño doypack Odex x 450 ml,Limpieza,"$ 54,00","$ 54,00","$ 54,00","$ 54,00","$ 54,00"
Limpiador Cocina Antigrasa doypack Odex x 450 ml,Limpieza,"$ 54,00","$ 54,00","$ 54,00","$ 54,00","$ 54,00"
Limpiador Cocina Cocina doypack Ecovita x 500 ml,Limpieza,"$ 53,00","$ 53,00","$ 53,00","$ 53,00","$ 53,00"
Limpiador Cremoso Flores naranja con microscopio Cif x 500 ml,Limpieza,"$ 90,00","$ 90,00","$ 90,00","$ 90,00","$ 90,00"
Limpiador de piso Colores Citrus NH3 x 1800 cc,Limpieza,"$ 90,00","$ 90,00","$ 90,00","$ 90,00","$ 90,00"
Limpiador de piso Con Amoníaco botella NH3 x 900 cc,Limpieza,"$ 90,00","$ 90,00","$ 90,00","$ 90,00","$ 90,00"
Limpiador de piso Lavanda en botella Ecovita x 900 ml,Limpieza,"$ 60,00","$ 60,00","$ 60,00","$ 60,00","$ 60,00"
Limpiador de piso Lavanda Mr Músculo x 1800 cc,Limpieza,"$ 115,00","$ 115,00","$ 115,00","$ 115,00","$ 115,00"
Limpiador Vidrios doypack Ecovita x 500 ml,Limpieza,"$ 53,00","$ 53,00","$ 53,00","$ 53,00","$ 53,00"
Limpiador Vidrios doypack Odex x 450 ml,Limpieza,"$ 54,00","$ 54,00","$ 54,00","$ 54,00","$ 54,00"
Limpiador Vidrios y multiuso doypcak Procenex x 820 ml,Limpieza,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Limpiador Vidrios y multiuso repuesto doypack Mr Músculo x 450 ml,Limpieza,"$ 46,50","$ 46,50","$ 46,50","$ 46,50","$ 46,50"
Manteca Primer Premio x 200 gr,Lácteos,"$ 94,00","$ 97,76","$ 97,76","$ 97,76","$ 97,76"
Manteca Sancor x 100 gr,Lácteos,"$ 69,00","$ 71,76","$ 71,76","$ 71,76","$ 71,76"
Manzana comercial Supermercado x 1 kg,Frutas y verduras,"$ 50,00","$ 51,75","$ 52,75","$ 53,50","$ 54,00"
Mate Cocido Saquitos Chamigo x 25 un,Almacén,"$ 36,00","$ 37,26","$ 37,98","$ 38,52","$ 38,88"
Mate cocido Saquitos Playadito x 50 un,Almacén,"$ 100,00","$ 103,50","$ 105,50","$ 107,00","$ 108,00"
Mate cocido Suave Unión x 25 un,Almacén,"$ 50,00","$ 51,75","$ 52,75","$ 53,50","$ 54,00"
Mayonesa Sin tacc doypack Fanacoa x 475 gr,Almacén,"$ 62,00","$ 62,00","$ 62,00","$ 62,00","$ 62,00"
Medallones de carne 276 gr Swift x 4 un,Carnes y embutidos,"$ 115,00","$ 119,03","$ 121,33","$ 123,05","$ 124,20"
Medallón de carne Express 276 gr Paty x 4 un,Carnes y embutidos,"$ 150,00","$ 155,25","$ 158,25","$ 160,50","$ 162,00"
Mermelada Ciruela Arcor x 454 gr,Almacén,"$ 95,00","$ 95,00","$ 95,00","$ 95,00","$ 95,00"
Mermelada Durazno Arcor x 454 gr,Almacén,"$ 95,00","$ 95,00","$ 95,00","$ 95,00","$ 95,00"
Mermelada Familiar Durazno en frasco Dulcor x 454 gr,Almacén,"$ 75,00","$ 75,00","$ 75,00","$ 75,00","$ 75,00"
Oblea Rellena con pasta de Turrón y Maní Billiken x 25 gr,Almacén,"$ 9,00","$ 9,00","$ 9,00","$ 9,00","$ 9,00"
Oleo calcáreo Botella Sanicare x 1000 ml,Bebés,"$ 166,00","$ 166,00","$ 166,00","$ 166,00","$ 166,00"
Oleo calcáreo Botella Sanicare x 220 ml,Bebés,"$ 76,00","$ 76,00","$ 76,00","$ 76,00","$ 76,00"
Oleo calcáreo Doypack Sanicare x 500 ml,Bebés,"$ 108,00","$ 108,00","$ 108,00","$ 108,00","$ 108,00"
Orégano Sobre La Parmesana x 25 gr,Almacén,"$ 32,00","$ 32,00","$ 32,00","$ 32,00","$ 32,00"
Pan lactal De Mesa Chico Lactal x 335 gr,Panificados,"$ 67,00","$ 67,00","$ 67,00","$ 67,00","$ 67,00"
Pan lactal De Mesa Grande Lactal x 560 gr,Panificados,"$ 124,00","$ 124,00","$ 124,00","$ 124,00","$ 124,00"
Pan lactal De Salvado Chico Lactal x 350 gr,Panificados,"$ 73,00","$ 73,00","$ 73,00","$ 73,00","$ 73,00"
Pan lactal De Salvado Grande Lactal x 630 gr,Panificados,"$ 136,00","$ 136,00","$ 136,00","$ 136,00","$ 136,00"
Pan lactal Familiar Veneziana x 600 gr,Panificados,"$ 105,00","$ 108,68","$ 110,78","$ 112,35","$ 113,40"
Pan para hamburguesa Lactal x 210 gr,Panificados,"$ 52,00","$ 52,00","$ 52,00","$ 52,00","$ 52,00"
Pan para hamburguesa Veneziana x 210 gr,Panificados,"$ 45,00","$ 46,58","$ 47,48","$ 48,15","$ 48,60"
Pan para pancho Lactal x 210 gr,Panificados,"$ 52,00","$ 52,00","$ 52,00","$ 52,00","$ 52,00"
